Logging to wandb run sevixdd/prior_debugging/21a645l2-fast-cloud-3
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(158.2323, device='cuda:0'), 'tracking/samples-seen': tensor(240, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4375, device='cuda:0')}
{'tracking/samples-sec': tensor(150.8505, device='cuda:0'), 'tracking/samples-seen': tensor(248, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4370, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6530, device='cuda:0'), 'tracking/samples-seen': tensor(256, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4417, device='cuda:0')}
{'tracking/samples-sec': tensor(118.4920, device='cuda:0'), 'tracking/samples-seen': tensor(264, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5369, device='cuda:0')}
{'tracking/samples-sec': tensor(154.2215, device='cuda:0'), 'tracking/samples-seen': tensor(272, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6314, device='cuda:0')}
{'tracking/samples-sec': tensor(158.9406, device='cuda:0'), 'tracking/samples-seen': tensor(280, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3889, device='cuda:0')}
{'tracking/samples-sec': tensor(158.7113, device='cuda:0'), 'tracking/samples-seen': tensor(288, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3442, device='cuda:0')}
{'tracking/samples-sec': tensor(124.4398, device='cuda:0'), 'tracking/samples-seen': tensor(296, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3790, device='cuda:0')}
{'tracking/samples-sec': tensor(157.9448, device='cuda:0'), 'tracking/samples-seen': tensor(304, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5692, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8074, device='cuda:0'), 'tracking/samples-seen': tensor(312, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4277, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8652, device='cuda:0'), 'tracking/samples-seen': tensor(320, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4005, device='cuda:0')}
{'tracking/samples-sec': tensor(114.3910, device='cuda:0'), 'tracking/samples-seen': tensor(328, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3495, device='cuda:0')}
{'tracking/samples-sec': tensor(155.7990, device='cuda:0'), 'tracking/samples-seen': tensor(336, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4207, device='cuda:0')}
{'tracking/samples-sec': tensor(159.9102, device='cuda:0'), 'tracking/samples-seen': tensor(344, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3384, device='cuda:0')}
{'tracking/samples-sec': tensor(159.1064, device='cuda:0'), 'tracking/samples-seen': tensor(352, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.3287, device='cuda:0')}
{'tracking/samples-sec': tensor(124.6408, device='cuda:0'), 'tracking/samples-seen': tensor(360, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5056, device='cuda:0')}
{'tracking/samples-sec': tensor(158.4400, device='cuda:0'), 'tracking/samples-seen': tensor(368, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5888, device='cuda:0')}
{'tracking/samples-sec': tensor(159.9483, device='cuda:0'), 'tracking/samples-seen': tensor(376, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5226, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8652, device='cuda:0'), 'tracking/samples-seen': tensor(384, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5477, device='cuda:0')}
{'tracking/samples-sec': tensor(122.8767, device='cuda:0'), 'tracking/samples-seen': tensor(392, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5832, device='cuda:0')}
{'tracking/samples-sec': tensor(152.3740, device='cuda:0'), 'tracking/samples-seen': tensor(400, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6276, device='cuda:0')}
{'tracking/samples-sec': tensor(150.6223, device='cuda:0'), 'tracking/samples-seen': tensor(408, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5721, device='cuda:0')}
{'tracking/samples-sec': tensor(158.7924, device='cuda:0'), 'tracking/samples-seen': tensor(416, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4566, device='cuda:0')}
{'tracking/samples-sec': tensor(115.5114, device='cuda:0'), 'tracking/samples-seen': tensor(424, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4608, device='cuda:0')}
{'tracking/samples-sec': tensor(157.4801, device='cuda:0'), 'tracking/samples-seen': tensor(432, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4537, device='cuda:0')}
{'tracking/samples-sec': tensor(159.5270, device='cuda:0'), 'tracking/samples-seen': tensor(440, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5400, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8530, device='cuda:0'), 'tracking/samples-seen': tensor(448, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5428, device='cuda:0')}
{'tracking/samples-sec': tensor(110.6093, device='cuda:0'), 'tracking/samples-seen': tensor(456, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6199, device='cuda:0')}
{'tracking/samples-sec': tensor(153.6896, device='cuda:0'), 'tracking/samples-seen': tensor(464, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4725, device='cuda:0')}
{'tracking/samples-sec': tensor(159.9262, device='cuda:0'), 'tracking/samples-seen': tensor(472, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5884, device='cuda:0')}
{'tracking/samples-sec': tensor(159.6819, device='cuda:0'), 'tracking/samples-seen': tensor(480, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5370, device='cuda:0')}
{'tracking/samples-sec': tensor(117.6432, device='cuda:0'), 'tracking/samples-seen': tensor(488, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4779, device='cuda:0')}
{'tracking/samples-sec': tensor(158.1175, device='cuda:0'), 'tracking/samples-seen': tensor(496, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4556, device='cuda:0')}
{'tracking/samples-sec': tensor(159.7807, device='cuda:0'), 'tracking/samples-seen': tensor(504, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6000, device='cuda:0')}
{'tracking/samples-sec': tensor(160.0742, device='cuda:0'), 'tracking/samples-seen': tensor(512, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6244, device='cuda:0')}
{'tracking/samples-sec': tensor(119.9881, device='cuda:0'), 'tracking/samples-seen': tensor(520, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4650, device='cuda:0')}
{'tracking/samples-sec': tensor(158.4221, device='cuda:0'), 'tracking/samples-seen': tensor(528, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4642, device='cuda:0')}
{'tracking/samples-sec': tensor(159.0672, device='cuda:0'), 'tracking/samples-seen': tensor(536, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5727, device='cuda:0')}
{'tracking/samples-sec': tensor(158.9911, device='cuda:0'), 'tracking/samples-seen': tensor(544, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5469, device='cuda:0')}
{'tracking/samples-sec': tensor(123.4354, device='cuda:0'), 'tracking/samples-seen': tensor(552, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5156, device='cuda:0')}
{'tracking/samples-sec': tensor(154.1882, device='cuda:0'), 'tracking/samples-seen': tensor(560, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4914, device='cuda:0')}
{'tracking/samples-sec': tensor(150.5581, device='cuda:0'), 'tracking/samples-seen': tensor(568, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5779, device='cuda:0')}
{'tracking/samples-sec': tensor(159.7640, device='cuda:0'), 'tracking/samples-seen': tensor(576, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5578, device='cuda:0')}
{'tracking/samples-sec': tensor(116.2634, device='cuda:0'), 'tracking/samples-seen': tensor(584, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5029, device='cuda:0')}
{'tracking/samples-sec': tensor(151.5646, device='cuda:0'), 'tracking/samples-seen': tensor(592, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4611, device='cuda:0')}
{'tracking/samples-sec': tensor(159.9048, device='cuda:0'), 'tracking/samples-seen': tensor(600, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4890, device='cuda:0')}
{'tracking/samples-sec': tensor(156.3187, device='cuda:0'), 'tracking/samples-seen': tensor(608, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4717, device='cuda:0')}
{'tracking/samples-sec': tensor(119.9624, device='cuda:0'), 'tracking/samples-seen': tensor(616, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5229, device='cuda:0')}
{'tracking/samples-sec': tensor(157.6762, device='cuda:0'), 'tracking/samples-seen': tensor(624, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5768, device='cuda:0')}
{'tracking/samples-sec': tensor(159.8378, device='cuda:0'), 'tracking/samples-seen': tensor(632, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5508, device='cuda:0')}
{'tracking/samples-sec': tensor(160.0719, device='cuda:0'), 'tracking/samples-seen': tensor(640, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5632, device='cuda:0')}
{'tracking/samples-sec': tensor(114.7784, device='cuda:0'), 'tracking/samples-seen': tensor(648, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5383, device='cuda:0')}
{'tracking/samples-sec': tensor(157.3604, device='cuda:0'), 'tracking/samples-seen': tensor(656, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5364, device='cuda:0')}
{'tracking/samples-sec': tensor(158.9278, device='cuda:0'), 'tracking/samples-seen': tensor(664, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5840, device='cuda:0')}
{'tracking/samples-sec': tensor(159.3634, device='cuda:0'), 'tracking/samples-seen': tensor(672, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4491, device='cuda:0')}
{'tracking/samples-sec': tensor(119.9611, device='cuda:0'), 'tracking/samples-seen': tensor(680, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4810, device='cuda:0')}
{'tracking/samples-sec': tensor(156.1201, device='cuda:0'), 'tracking/samples-seen': tensor(688, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5299, device='cuda:0')}
