Logging to wandb run sevixdd/prior_debugging/inxalrw5-dashing-brook-36
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(85.5420, device='cuda:0'), 'tracking/samples-seen': tensor(600, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5147, device='cuda:0')}
{'tracking/samples-sec': tensor(93.2054, device='cuda:0'), 'tracking/samples-seen': tensor(620, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4566, device='cuda:0')}
{'tracking/samples-sec': tensor(98.1206, device='cuda:0'), 'tracking/samples-seen': tensor(640, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4892, device='cuda:0')}
{'tracking/samples-sec': tensor(136.6434, device='cuda:0'), 'tracking/samples-seen': tensor(660, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4912, device='cuda:0')}
{'tracking/samples-sec': tensor(131.5367, device='cuda:0'), 'tracking/samples-seen': tensor(680, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5104, device='cuda:0')}
{'tracking/samples-sec': tensor(135.7200, device='cuda:0'), 'tracking/samples-seen': tensor(700, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4845, device='cuda:0')}
{'tracking/samples-sec': tensor(131.3012, device='cuda:0'), 'tracking/samples-seen': tensor(720, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4825, device='cuda:0')}
{'tracking/samples-sec': tensor(137.2432, device='cuda:0'), 'tracking/samples-seen': tensor(740, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4937, device='cuda:0')}
{'tracking/samples-sec': tensor(131.6194, device='cuda:0'), 'tracking/samples-seen': tensor(760, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4911, device='cuda:0')}
{'tracking/samples-sec': tensor(137.2529, device='cuda:0'), 'tracking/samples-seen': tensor(780, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4919, device='cuda:0')}
{'tracking/samples-sec': tensor(131.2032, device='cuda:0'), 'tracking/samples-seen': tensor(800, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5056, device='cuda:0')}
{'tracking/samples-sec': tensor(133.2064, device='cuda:0'), 'tracking/samples-seen': tensor(820, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4635, device='cuda:0')}
{'tracking/samples-sec': tensor(130.9969, device='cuda:0'), 'tracking/samples-seen': tensor(840, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4684, device='cuda:0')}
{'tracking/samples-sec': tensor(137.2161, device='cuda:0'), 'tracking/samples-seen': tensor(860, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4853, device='cuda:0')}
