
100% 51/51 [00:00<00:00, 22799.99it/s]
Logging to wandb run sevixdd/prior_debugging/1z366huy-soft-monkey-19
Saving checkpoint locally
[34m[5mGrabbing data...
Specified count is larger than what's available...defaulting to reader's count.
[33mBeginning Prior Training : Distributed=False
{'tracking/epoch': 0}
{'tracking/samples-sec': tensor(152.3782, device='cuda:0'), 'tracking/samples-seen': tensor(960, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5315, device='cuda:0')}
{'tracking/samples-sec': tensor(165.7250, device='cuda:0'), 'tracking/samples-seen': tensor(992, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5515, device='cuda:0')}
{'tracking/samples-sec': tensor(167.8120, device='cuda:0'), 'tracking/samples-seen': tensor(1024, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5438, device='cuda:0')}
{'tracking/samples-sec': tensor(147.7616, device='cuda:0'), 'tracking/samples-seen': tensor(1056, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4954, device='cuda:0')}
{'tracking/samples-sec': tensor(123.0220, device='cuda:0'), 'tracking/samples-seen': tensor(1088, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5495, device='cuda:0')}
{'tracking/samples-sec': tensor(148.5235, device='cuda:0'), 'tracking/samples-seen': tensor(1120, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5473, device='cuda:0')}
{'tracking/samples-sec': tensor(165.8737, device='cuda:0'), 'tracking/samples-seen': tensor(1152, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5411, device='cuda:0')}
{'tracking/samples-sec': tensor(106.1084, device='cuda:0'), 'tracking/samples-seen': tensor(1184, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5334, device='cuda:0')}
{'tracking/samples-sec': tensor(121.7401, device='cuda:0'), 'tracking/samples-seen': tensor(1216, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4941, device='cuda:0')}
{'tracking/samples-sec': tensor(110.7859, device='cuda:0'), 'tracking/samples-seen': tensor(1248, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5116, device='cuda:0')}
{'tracking/samples-sec': tensor(113.4994, device='cuda:0'), 'tracking/samples-seen': tensor(1280, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5143, device='cuda:0')}
{'tracking/samples-sec': tensor(122.2488, device='cuda:0'), 'tracking/samples-seen': tensor(1312, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5563, device='cuda:0')}
{'tracking/samples-sec': tensor(169.3962, device='cuda:0'), 'tracking/samples-seen': tensor(1344, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5138, device='cuda:0')}
{'tracking/samples-sec': tensor(167.7116, device='cuda:0'), 'tracking/samples-seen': tensor(1376, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5383, device='cuda:0')}
{'tracking/samples-sec': tensor(167.7059, device='cuda:0'), 'tracking/samples-seen': tensor(1408, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5605, device='cuda:0')}
{'tracking/samples-sec': tensor(168.7513, device='cuda:0'), 'tracking/samples-seen': tensor(1440, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5068, device='cuda:0')}
{'tracking/samples-sec': tensor(169.4557, device='cuda:0'), 'tracking/samples-seen': tensor(1472, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5345, device='cuda:0')}
{'tracking/samples-sec': tensor(166.0473, device='cuda:0'), 'tracking/samples-seen': tensor(1504, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4813, device='cuda:0')}
{'tracking/samples-sec': tensor(169.3595, device='cuda:0'), 'tracking/samples-seen': tensor(1536, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4745, device='cuda:0')}
{'tracking/samples-sec': tensor(167.3137, device='cuda:0'), 'tracking/samples-seen': tensor(1568, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5218, device='cuda:0')}
{'tracking/samples-sec': tensor(169.3691, device='cuda:0'), 'tracking/samples-seen': tensor(1600, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4475, device='cuda:0')}
{'tracking/samples-sec': tensor(163.3214, device='cuda:0'), 'tracking/samples-seen': tensor(1632, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.4801, device='cuda:0')}
{'tracking/samples-sec': tensor(169.7278, device='cuda:0'), 'tracking/samples-seen': tensor(1664, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5185, device='cuda:0')}
{'tracking/samples-sec': tensor(166.5617, device='cuda:0'), 'tracking/samples-seen': tensor(1696, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5944, device='cuda:0')}
{'tracking/samples-sec': tensor(167.9327, device='cuda:0'), 'tracking/samples-seen': tensor(1728, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.6192, device='cuda:0')}
{'tracking/samples-sec': tensor(169.4480, device='cuda:0'), 'tracking/samples-seen': tensor(1760, device='cuda:0'), 'tracking/ema-decay': 0.0, 'tracking/training-l2': tensor(0.5805, device='cuda:0')}
